Date,Open,High,Low,Close,Volume,Adjusted Close
2013-07-30,936.01,940.48,934.85,936.95,0.0,936.95
2013-07-31,936.82,944.16,936.73,937.16,0.0,937.16
2013-08-01,937.09,950.2,937.09,949.56,0.0,949.56
2013-08-02,949.55,951.03,946.22,951.03,0.0,951.03
2013-08-05,951.01,951.01,947.81,949.85,0.0,949.85
2013-08-06,949.84,949.84,941.67,943.78,0.0,943.78
2013-08-07,943.53,943.53,936.59,939.96,0.0,939.96
2013-08-08,939.93,945.4,938.91,943.94,0.0,943.94
2013-08-09,943.79,945.2,938.09,941.09,0.0,941.09
2013-08-12,941.06,941.33,936.61,940.19,0.0,940.19
2013-08-13,940.09,943.51,935.94,942.07,0.0,942.07
2013-08-14,941.93,942.58,936.98,937.17,0.0,937.17
2013-08-15,937.03,937.03,922.07,923.62,0.0,923.62
2013-08-16,923.58,925.12,919.15,920.67,0.0,920.67
2013-08-19,920.62,922.46,915.01,915.11,0.0,915.11
2013-08-20,915.08,922.91,915.08,919.51,0.0,919.51
2013-08-21,919.47,922.18,912.36,914.29,0.0,914.29
2013-08-22,914.28,923.72,914.28,922.44,0.0,922.44
2013-08-23,922.32,926.93,921.2,926.25,0.0,926.25
2013-08-26,926.73,929.94,922.56,923.17,0.0,923.17
2013-08-27,922.48,923.17,907.22,907.99,0.0,907.99
2013-08-28,907.84,913.95,906.49,910.54,0.0,910.54
2013-08-29,910.42,917.22,908.57,912.88,0.0,912.88
2013-08-30,912.84,913.94,906.67,909.28,0.0,909.28
2013-09-03,909.24,919.7,909.1,912.93,0.0,912.93
2013-09-04,912.75,921.61,911.54,920.29,0.0,920.29
2013-09-05,920.26,923.74,920.26,921.62,0.0,921.62
2013-09-06,921.53,927.35,913.88,922.02,0.0,922.02
2013-09-09,921.99,932.06,921.99,931.72,0.0,931.72
2013-09-10,931.71,938.77,931.71,938.72,0.0,938.72
2013-09-11,938.62,941.63,935.75,941.63,0.0,941.63
2013-09-12,941.39,942.26,937.7,938.46,0.0,938.46
2013-09-13,938.45,941.26,937.57,940.9,0.0,940.9
2013-09-16,943.91,950.2,940.9,946.0,0.0,946.0
2013-09-17,945.99,950.72,945.99,950.52,0.0,950.52
2013-09-18,950.5,963.75,947.65,961.81,0.0,961.81
2013-09-19,961.67,964.41,959.18,960.35,0.0,960.35
2013-09-20,960.34,961.87,952.72,953.38,0.0,953.38
2013-09-23,953.37,953.94,945.93,948.79,0.0,948.79
2013-09-24,948.7,952.63,945.28,946.94,0.0,946.94
2013-09-25,946.91,949.66,944.13,944.86,0.0,944.86
2013-09-26,944.7,951.16,944.7,948.48,0.0,948.48
2013-09-27,948.42,948.42,942.05,944.78,0.0,944.78
2013-09-30,944.77,944.77,935.24,939.5,0.0,939.5
2013-10-01,939.83,948.6,939.5,947.76,0.0,947.76
2013-10-02,947.59,947.59,939.74,947.0,0.0,947.0
2013-10-03,945.92,947.0,933.72,938.47,0.0,938.47
2013-10-04,938.44,946.12,938.01,945.25,0.0,945.25
2013-10-07,945.24,945.24,936.47,936.98,0.0,936.98
2013-10-08,936.73,937.25,924.49,924.56,0.0,924.56
2013-10-09,924.49,927.87,918.85,924.38,0.0,924.38
2013-10-10,924.24,944.69,924.24,944.69,0.0,944.69
2013-10-11,943.6,951.01,942.68,950.85,0.0,950.85
2013-10-14,946.0,955.17,944.69,954.69,0.0,954.69
2013-10-15,953.94,955.54,946.69,947.97,0.0,947.97
2013-10-16,950.19,961.15,947.97,961.1,0.0,961.1
